id,question,correctAnswerSample,output,explanation,hint,img_src,difficulties,times,hints
11,"قم بتعريف دالة إسمها IsPrime(), عند استدعاءها نمرر لها عدد, فترجع True إذا كان العدد عبارة عن عدد أوّلي ( Prime Number ) و ترجع False إن لم يكن كذلك.
	بعدها قم بتجربة هذه الدالة في البرنامج.","
#include <iostream>

bool isPrime(int n) {

	// إذا كان الرقم من الأساس أصغر أو يساوي 1 فعندها لا يعتبر عدد أولي
	if (n <= 1)
	{
		return false;
	}

	// إذا كان الرقم الذي تم تمريره إليها أكبر من 1 عندها سيتم التأكد منه
	else
	{
		// سنحاول قسمته على جميع الأعداد الموجودة إبتداءاً من الرقم 2 إلى نصف قيمه العدد الذي تم تمريره للدالة
		for (int i = 2; i <= (n / 2); i++)
		{
			// إذا كان العدد الذي تم تمريره لها لا يمكن قسمته على أي رقم بين 2 و نصفه فعندها لا يعتبر عدد أولي
			if (n % i == 0)
			{
				return false;
			}
		}
		// إذا كان العدد الذي تم تمريره لها يمكن قسمته على أي رقم بين 2 و نصفه فعندها يعتبر عدد أولي
		return true;
	}

}


int main() {
	
	std::cout << ""2 is a prime number? "" << (isPrime(2) ? ""true"" : ""false"") << ""\n"";
	std::cout << ""3 is a prime number? "" << (isPrime(3) ? ""true"" : ""false"") << ""\n"";
	std::cout << ""4 is a prime number? "" << (isPrime(4) ? ""true"" : ""false"") << ""\n"";
	std::cout << ""5 is a prime number? "" << (isPrime(5) ? ""true"" : ""false"") << ""\n"";
	std::cout << ""6 is a prime number? "" << (isPrime(6) ? ""true"" : ""false"") << ""\n"";

	char end; std::cin >> end;
	return 0;

}
		","
2 is a prime number? true
3 is a prime number? true
4 is a prime number? false
5 is a prime number? true
6 is a prime number? false
		",سنحصل على النتيجة التالية عند التشغيل.,معلومة: العدد الأولي هو العدد الذي يقبل القسمة على نفسه و على 1 فقط مثل الأرقام 1 - 3 - 5 - 7 - 11 - 13 - 17 إلخ..,,"[{'difficulty': '41.032', 'project': 11}]","[{'time': '31.766', 'project': 11}]","[{'required_concept_hint': ""{'الحلقات': 14.3261, 'الشروط': 15.1984, 'أنواع البيانات': 17.0001, 'الأساسيات': 17.0001, 'الدوال': 13.9842}"", 'project': 11}]"
12,"أكتب برنامج يطلب من المستخدم إدخال رقم. بعدها يعرض له نسخة من هذا الرقم و لكن بشكل معكوس.
مثال: إذا قام المستخدم بإدخال الرقم 12345, النتيجة ستكون 54321.","
#include <iostream>

int main() {

	int number;
	int originalNumber;
	int reversedNumber = 0;
	int remainder;

	std::cout << ""Enter a number: "";
	std::cin >> number;

	originalNumber = number;

	while (number != 0)
	{
		remainder = number % 10;
		reversedNumber = reversedNumber * 10 + remainder;
		number /= 10;
	}

	std::cout << ""Reversed version of "" << originalNumber << "" is: "" << reversedNumber;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 12345
Reversed version of 12345 is: 54321
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 12345 عند التشغيل.,,,"[{'difficulty': '41.700', 'project': 12}]","[{'time': '30.850', 'project': 12}]","[{'required_concept_hint': ""{'الحلقات': 15.3046, 'أنواع البيانات': 17.942, 'الأساسيات': 17.942}"", 'project': 12}]"
13,"أكتب برنامج يطلب من المستخدم إدخال رقمين, ثم يعرض له نتيجة مقارنة هذين الرقمين.
مثال: إذا قام المستخدم بإدخال الرقمين 2 و 7 فستكون النتيجة كالتالي.

Enter first number: 7
Enter second number: 2
Result: 7 > 2
	","
#include <iostream>

int main() {

	int x, y;

	std::cout << ""Enter first number: "";
	std::cin >> x;

	std::cout << ""Enter second number: "";
	std::cin >> y;

	std::cout << ""Result: "";

	if (x > y)
	{
		std::cout << x << "" > "" << y;
	}
	else if (x < y)
	{
		std::cout << x << "" < "" << y;
	}
	else
	{
		std::cout << x << "" = "" << y;
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter first number: 7
Enter second number: 2
Result: 7 > 2
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقمين 7 و 2 عند التشغيل.,,,"[{'difficulty': '45.930', 'project': 13}]","[{'time': '32.965', 'project': 13}]","[{'required_concept_hint': ""{'الشروط': 16.7534, 'أنواع البيانات': 18.8201, 'الأساسيات': 18.8201, 'الدوال': 17.0741}"", 'project': 13}]"
14,"أكتب برنامج يطلب من المستخدم إدخال ثلاث أرقام و خزنها في ثلاث متغيرات (a - b - c ), ثم يعرض له أكبر رقم تم إداخله.
مثال: إذا قام المستخدم بإدخال الأرقام 2, 7 و 5 فستكون النتيجة كالتالي.

Enter a: 1
Enter b: 2
Enter c: 5
The max number is: 5
	","#include <iostream>

int main() {

    int a, b, c, maximum;

    std::cout << ""Enter a: "";
    std::cin >> a;

    std::cout << ""Enter b: "";
    std::cin >> b;

    std::cout << ""Enter c: "";
    std::cin >> c;

    if (a > b && a > c)
    {
        maximum = a;
    }
    else if (b > a && b > c)
    {
        maximum = b;
    }
    else
    {
        maximum = c;
    }

    std::cout << ""The max number is: "" << maximum;

    char end; std::cin >> end;
    return 0;

}","Enter a: 1
Enter b: 2
Enter c: 5
The max number is: 5","سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الأرقام 2, 1 و 5 عند التشغيل.",,,"[{'difficulty': '49.858', 'project': 14}]","[{'time': '37.429', 'project': 14}]","[{'required_concept_hint': ""{'الشروط': 17.8618, 'أنواع البيانات': 19.7175, 'الأساسيات': 19.7175, 'الدوال': 19.7175}"", 'project': 14}]"
15,"قم بإنشاء برنامج يطلب من المستخدم إدخال ثلاث نصوص و يخزنهم في ثلاث متغيرات نصية هي S1, S2 و S3 و بعدها ينفذ التالي:
يخبره ما إن كان دمج S1 مع S2 يساوي S3 أم لا.
يخبره ما إن كان S1 يمثل جزء من S2 أو يساويه ( أي S1 == s2 ).
إذا كان طول S1 أكبر من طول S2 قم بإضافة نص S2 على S1 و خزن الناتج في متغير نصي جديد إسمه S4.
إذا كان طول S2 أكبر من طول S1 قم بإضافة نص S1 على S2 و خزن الناتج في متغير نصي جديد إسمه S4.
يخبره ما إن كان S2 يمثل جزء من ثاني نصف في S1.
يعرض له الأحرف الموجودة في أول نصف في S1.
","
#include <iostream>
#include <string>

int main() {

	std::string S1, S2, S3, S4;

	std::cout << ""Enter S1: "";
	getline(std::cin, S1);

	std::cout << ""Enter S2: "";
	getline(std::cin, S2);

	std::cout << ""Enter S3: "";
	getline(std::cin, S3);

	std::cout << ""---------------------------------------\n"";

	// Part 1
	std::cout << ""The concatenation of S1 and S2 is equal S3? ""
		<< ((S3 == (S1 + S2)) ? ""True"" : ""False"")
		<< ""\n"";
	
	// Part 2
	std::cout << ""S1 is part of S2 or S1=S2? ""
		<< ((S2.find(S1, 0) != std::string::npos) ? ""True"" : ""False"")
		<< ""\n"";
	
	// Part 3
	if (S1.length() > S2.length()) {
		S4 = S2 + S1;
	}
	
	// Part 4
	if (S2.length() > S1.length()) {
		S4 = S1 + S2;
	}
	
	// Part 5
	std::cout << ""S2 is part of the second half of S1? "" 
		<< ((S1.find(S2, S1.length() / 2) != std::string::npos) ? ""True"" : ""False"")
		<< ""\n"";
	
	// Part 6
	std::cout << ""The first half characters of S1 are: "";
	for (int i = 0; i < S1.length() / 2; i++) {
		std::cout << S1[i];
	}

	char end; std::cin >> end;
	return 0;

}
		","
Enter S1: Mhamad
Enter S2: Harmush
Enter S3: MhamadHarmush
---------------------------------------
The concatenation of S1 and S2 is equal S3? True
S1 is part of S2 or S1=S2? False
S2 is part of the second half of S1? False
The first half characters of S1 are: Mha
",سنحصل على النتيجة التالية في حال تم إدخال نفس القيم التي تم تعليمها باللون الأصفر عند التشغيل.,,,"[{'difficulty': '52.525', 'project': 15}]","[{'time': '52.512', 'project': 15}]","[{'required_concept_hint': ""{'الحلقات': 17.0714, 'الشروط': 18.98, 'أنواع البيانات': 20.6246, 'الأساسيات': 20.6246, 'التعامل مع النصوص': 19.0373, 'المصفوفات': 15.1077}"", 'project': 15}]"
16,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int f = 1;
	int n = 0;
	double s = 0;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (double i = 1; i <= n; i++)
	{
		f *= i;
		s += 1 / (i + f);
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 0.896825
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-7/ex-2-solution-using-cpp/3a881aec-ebbd-45ff-897d-25b2e7d9e770_ex-2.PNG,"[{'difficulty': '54.391', 'project': 16}]","[{'time': '35.945', 'project': 16}]","[{'required_concept_hint': ""{'الحلقات': 18.002, 'أنواع البيانات': 21.5184, 'الأساسيات': 21.5184}"", 'project': 16}]"
17,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب ناتج جمع جميع الأرقام من 1 إلى n و يخزنها في متغير إسمه s كالتالي.","
#include <iostream>

int main() {

	int n, s = 0;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		s += i;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 10
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-3/ex-3-solution-using-cpp/2521000a-3a4c-4a3e-8887-5921610c85ce_ex-3.PNG,"[{'difficulty': '54.391', 'project': 17}]","[{'time': '32.195', 'project': 17}]","[{'required_concept_hint': ""{'الحلقات': 18.9093, 'أنواع البيانات': 22.3892, 'الأساسيات': 22.3892}"", 'project': 17}]"
18,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب ناتج ضرب جميع الأرقام من 1 إلى n و يخزنها في متغير إسمه m كالتالي.","
#include <iostream>

int main() {

	int n, m = 1;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		m *= i;
	}

	std::cout << ""M = "" << m;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
M = 24
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-3/ex-4-solution-using-cpp/5fec87c6-deee-46e2-ad6c-a81c7d0782ad_ex-4.PNG,"[{'difficulty': '54.391', 'project': 18}]","[{'time': '32.195', 'project': 18}]","[{'required_concept_hint': ""{'الحلقات': 19.7702, 'أنواع البيانات': 23.2135, 'الأساسيات': 23.2135}"", 'project': 18}]"
19,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n;
	double s = 0;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (double i = 1; i <= n; i++)
	{
		s += 1 / i;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 2.08333
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-4/ex-1-solution-using-cpp/522d0bb1-b16e-4a41-b55a-3fb61fb1dbc9_ex-1.PNG,"[{'difficulty': '54.391', 'project': 19}]","[{'time': '33.445', 'project': 19}]","[{'required_concept_hint': ""{'الحلقات': 20.5925, 'أنواع البيانات': 23.9991, 'الأساسيات': 23.9991}"", 'project': 19}]"
20,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n;
	double s = 0;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (double i = 1; i <= n; i++)
	{
		s += (i * i) / (i + 1);
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 7.28333
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-4/ex-3-solution-using-cpp/f673aa2a-f22a-4db7-bfe2-061e07fa8238_ex-3.PNG,"[{'difficulty': '54.391', 'project': 20}]","[{'time': '33.445', 'project': 20}]","[{'required_concept_hint': ""{'الحلقات': 21.3822, 'أنواع البيانات': 24.7521, 'الأساسيات': 24.7521}"", 'project': 20}]"
21,"أكتب برنامج يطلب من المستخدم إعطائه عدد صحيح أكبر من صفر و خزنه في المتغير n.
	بعدها يقوم بحساب القيمة النهائية التي سيتم تخزينها في المتغير s.","
#include <iostream>

int main() {

	int n = 0;
	int s = 0;
	int f = 1;

	do
	{
		std::cout << ""Enter a number: "";
		std::cin >> n;
	}
	while (n <= 0);

	for (int i = 1; i <= n; i++)
	{
		f *= i;
		s += f;
	}

	std::cout << ""S = "" << s;

	char end; std::cin >> end;
	return 0;

}
		","
Enter a number: 4
S = 33
		",سنحصل على النتيجة التالية إذا قام المستخدم بإدخال الرقم 4 عند التشغيل.,,https://harmash.com//tutorials/algorithms-and-data-structure/math-operations-test-5/ex-1-solution-using-cpp/26d4188f-fc51-47af-8bd6-8d6ba57a1243_ex-1.PNG,"[{'difficulty': '54.391', 'project': 21}]","[{'time': '35.945', 'project': 21}]","[{'required_concept_hint': ""{'الحلقات': 22.1442, 'أنواع البيانات': 25.4775, 'الأساسيات': 25.4775}"", 'project': 21}]"
