generalConcepts,question,answers,correctanswer
الأساسيات,What is the only function that all C++ programs must contain?,"['main ()', 'void ()', 'system ()', 'start ()']",main ()
الأساسيات,في C ++ ، يتم استخدام الرمز // من أجل:,"['تقسيم الارقام', 'التعليقات', 'ربط نص بنص', 'exponentiation']",التعليقات
التعامل مع الأعداد,"What is the output of the following code snippet?
#include<bits/stdc++.h>
using namespace std;
int main() {
 float var= 54.154365;
cout << setprecision(6) << var;
    return 0;
}","['54.1543', '54.154365', '54.1544', 'Compiler Error']",54.1544
التعامل مع الأعداد,"cout<<floor(12.5)<<endl;
prints:","['12', '13', '12.5', 'None of the above']",12
التعامل مع النصوص,"What is the output of the following code snippet?
 #include <iostream>
    #include <cstring>
    #include<string>
    using namespace std;
    int main ()
    {
        string str1{ “C++ String”};
        string str2{ “Quiz”};
        string str3;
        int  len ;
        str3=str1;
        str1=str1+str2;
        len = str1.length();
        cout << len << endl;
        return 0;
    }","['10', '15', '14', '4']",14
التعامل مع النصوص,What character ends all strings?,"['.', ' ', '\\0', '\\n']",\0
التعامل مع النصوص,Which of the following reads in a string named x with one hundred characters?,"[""cin.getline(x, 100, '\\n');"", ""cin.getline(100, x, '\\n');"", ""readline(x, 100, '\\n');"", 'read(x);']","cin.getline(x, 100, '\n');"
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream> 
#include <string>
using namespace std; 
int main()
{
    string str={“Hello World”};
    cout<<str;
    return 0;
}","['Hello World', 'str', 'Error', 'Segmentation fault']",Hello World
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream>
#include <cstring>
using namespace std;
int main()
{
    char s1[50]=”Hello”, s2[50]=”World”;
    strcat(s1, s2); 
    cout << s1 << endl;
    return 0;
}","['HelloWorld', 'Hello', 'World', 'Error']",HelloWorld
التعامل مع النصوص,"What is the output of the following code snippet if the string entered by the user is “Hello World”?
#include <iostream> 
#include <string>
using namespace std; 
int main()
{
    string str;
    int i;
    cin>>str;
    for(i=2;i<str.length();i++)
    cout<<str[i];
}","['Hello World', 'Hello', 'llo', 'Error']",llo
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream>
#include <string>
using namespace std;
int main() {
    string s1 {“QuizOrbit”};
    unsigned long int found = s1.find_last_of(“aeiou”);
    while (found != string :: npos)
    {
        s1[found] = ‘*’;
        found = s1.find_last_of(“aeiou”, found + 1);
    }
    cout << s1 << “\n”;
    return 0;
}","['QuizOrbit', 'Quizorbit', 'Q**zOrb*t', 'None of the above']",Q**zOrb*t
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream>
#include <string>
using namespace std;
int main() {
    string s1 {“QuizOrbit”};
    for (int i = 0; i < s1.length(); i++)
    {
    s1[i]=toupper(s1[i]);
    }
    cout<<s1;
    return 0;
}","['QuizOrbit', 'quizorbit', 'QUIZORBIT', 'Error']",QUIZORBIT
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream>
#include <string>
using namespace std;
int main() {
    string s1 {“QuizOrbit”};
    for (int i = 0; i < s1.length(); i++)
    {
    s1[i]=tolower(s1[i]);
    }
    cout<<s1;
    return 0;
}","['QuizOrbit', 'QUIZORBIT', 'quizorbit', 'Error']",quizorbit
التعامل مع النصوص,Which of the following adds one string to the end of another?,"['append();', 'stringadd();', 'strcat();', 'stradd();']",strcat();
التعامل مع النصوص,Which of the following functions compares two strings?,"['compare();', 'stringcompare();', 'cmp();', 'strcmp();']",strcmp();
التعامل مع النصوص,"What is the output of the following code snippet?
#include <iostream> 
#include <string>
using namespace std; 
int main()
{
    string str={“Hello World”};
    cout<<str[6];
    return 0;
}","['H', 'W', 'o', 'Error']",W
التعامل مع النصوص,الـ function هذا strlen() يحسب:,"['طول النص مع تضمين الفاصل الفارغ', 'طول النص مع عدم تضمين الفاصل الفارغ', 'عدد الاحرف الابجدية في النص', 'لا يوجد مثل هذه الدالة من الاساس']",طول النص مع عدم تضمين الفاصل الفارغ
الحلقات,ما هو الحد الأدنى لعدد مرات تنفيذ حلقة do ؟,"['0', '1', 'Infinity', 'Could not be predicted']",1
الحلقات,"How many times QuizOrbit.com is printed?
#include <iostream>
using namespace std;
int main()
{
    int i,j;
    for(i=0;i<5;i++)
    {
        while(j<i)
    {
        cout<<“QuizOrbit.com”<<endl;
        j++;
    }
    }
    return 0;
}","['4', '5', '6', '7']",4
الحلقات,What is the number of loops in C++?,"['2', '3', '4', '5']",4
الحلقات,"How many times QuizOrbit.com is printed?
#include <iostream>
using namespace std;
int main()
{
    int i;
    for(i=0;i<5;i++)
    cout<<“QuizOrbit.com”<<endl;
    return 0;
}","['5', '6', '3', '4']",5
الحلقات,"How many times QuizOrbit.com is printed?
#include <iostream>
using namespace std;
int main()
{
    int i=0;
    label:
    cout<<“QuizOrbit.com”<<endl;
    i++;
    if(i<6)
    {
    goto label;
    }
    return 0;
}","['2', '3', '4', '6']",6
الحلقات,What is the final value of x when the code int x; for(x=0; x<10; x++) {} is run?,"['10', '9', '0', '1']",10
الحلقات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
int x = 9;
 while (x<9);
 x++;
 cout<<x;
 return 0;
}","['20', '10', '15', '9']",10
الحلقات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
int i,j=0;
for(i=10;i>0;i/=2)
{
    j++;
    cout<<j;
}
cout<<j;
    return 0;
}","['0123456789', '123456789', '12344', '12345']",12344
الحلقات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
int i = 0, j = 0;
do
{
    if(i % 2 == 0)
    {
       cout<<j;
       j++;
    }
    ++i;
}while(i<10);
cout<<j;
    return 0;
}","['12345', '012345', '234510', '0123']",12345
الحلقات,"ما هي نتيجة هذا الكود؟
for (int i = 1; i <= 10; i+=2)    System.out.println(i);","['13579', '1357', '13578']",13579
الحلقات,"What is the output of the following program?
for (int i = 1; i <= 10; i+=2)    System.out.println(i);","['13579', '1357', '13578']",13579
الحلقات,"What will be the output of this code?
for (int n=10; n>0; n- -)
{
                      if (n==4) continue;
                        cout<<n<<endl;
 }","['10,9,8,7,6,4,3,2,1', '10,9,8,7,6,5,4,3,2,1', '10,9,8,7,6,5,3,2,1', '10,9,8,7,6,5,4,3,2,1,0']","10,9,8,7,6,5,3,2,1"
الحلقات,Which of the following is an exit-controlled loop?,"['for', 'while', 'do-while', 'all of above']",do-while
الحلقات,Which of the following loops goes to infinity?,"['for (int i=0 ; ; )', 'for (int i=0 ; ; i=∞)', 'for (int i=0 ; i<=1000000000000000000 ; i++)', 'for (int i=0 ; ; i++)']",for (int i=0 ; ; i++)
الحلقات,Which of the following is an entry-controlled loop?,"['for', 'none', 'do-while', 'all of above']",for
الحلقات,ما هو الرمز المستخدم لوضع عبارات برمجية داخل بنية الـ loop في C ++؟,"['% %', '( )', '{ }', 'لا شئ مما سبق']",{ }
الحلقات,"What is the output of the following program?
#include<iostream>
#include<algorithm>
using namespace std;
void displayx2(int x)
{
    cout << x * 2 << ” “;
}
class Multiply2
{
    void operator() (int x)
    {
        cout << x * 3 << ” “;
    }
};
int main()
{
    // initializing array
    int arr[5] = { 1, 5, 2, 4, 3 };
    for_each(arr, arr + 5, displayx2);
    return 0;
}","['1 5 2 4 3', '1 2 3 4 5', '2 10 4 8 6', '3 15 6 12 9']",2 10 4 8 6
الحلقات,What is the way to suddenly come out of or Quit any Loop in C++ Language.?,"['continue; statement', 'break; statement', 'leave; statement', 'quit; statement']",break; statement
الحلقات,ما هي الـ loop التي سيتم تنفيذها دائمًا مرة واحدة على الأقل؟,"['do', 'for', 'while']",do
الحلقات,ما هو الـ loop الصحيح؟,"['do {//code}while (condition);', 'do {//code}while (condition)', 'do {//code}while (condition):', 'do{while(condition); code;}']",do {//code}while (condition);
الحلقات,أي من هؤلاء لا يعتبر loop؟,"['for', 'have', 'do', 'while']",have
الحلقات,"ما هي نتيجة هذا الكود؟
for (int i = 1; i <= 3; )
System.out.println(""A"");","['AAA', 'AAAA', '1', 'infinite loop']",infinite loop
الحلقات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
int i=10,j=0;
while(1)
{
if(j<i)
    j++;
    cout<<j;
}
 return 0;
}","['1', '2', '', 'Infinite times']",Infinite times
الحلقات,Which is not a loop structure?,"['For', 'Do while', 'While', 'Repeat Until']",Repeat Until
الحلقات,"How many times will QuizOrbit be printed?
#include <iostream>
using namespace std;
int main()
{
    int i = 100;
    for (; i; i >>= 1)
        cout<<“QuizOrbit”<<endl;
    return 0;
}","['Eight', 'Six', 'Four', 'Seven']",Seven
الحلقات,When does the code block following while(x<100) execute?,"['When x is less than one hundred', 'When x is greater than one hundred', 'When x is equal to one hundred', 'While it wishes']",When x is less than one hundred
الحلقات,Is it possible to include a while loop in a for loop?,"['Yes', 'No', 'Compilation Error', 'Runtime Error']",Yes
الحلقات,"هل هذا الـ loop صحيح ام به خطأ؟
for {i=0,i<10,i++}","['صحيح', 'خطأ']",خطأ
الحلقات,ما هي الـ loop التي تتطلب أقواس مجعدة {}؟,"['for', 'do', 'while', 'كل ما سبق']",كل ما سبق
الدوال,كم عدد القيم التي يمكن إرجاعها بواسطة الـ function في C ++؟,"['0', '1', 'عدد لا نهائي من القيم', 'لا شئ مما سبق']",1
الدوال,"What is the output of the following code snippet?
#include <iostream>
using namespace std;
    int gCD(int a, int b)
    {
        int tempvar=0;
        while (b != 0) 
        {
            tempvar = a% b;
            a = b;
            b = tempvar;
        }
        return(a);
    }
    int main ()
    {
        int a=9, b = 12;
        cout << gCD(a, b);
        return(0);
    }  ","['1', '3', '9', '12']",3
الدوال,"What is the output of the following code snippet?
#include <iostream>
#include <string>
using namespace std;
void fun(string str, string str1)
{
    unsigned int found = str.find(str1);
    if (found != string :: npos)
    cout << found << endl;
}
int main() {
   string str {“C++ string Quiz”};
    string str1 {“string”};
    fun(str,str1);
    return 0;
}","['23', 'string', 'Quiz', '4']",4
الدوال,"What is the output of the following code snippet?
#include <iostream>
using namespace std;
   inline int maximum(int a, int b )
    {
        return ( a > b ? a : b );
    }
    int main()
    {
        int x = 30;
        int y = 40;
        cout << maximum(x, y );
        return 0;
    }","['30', '40', 'Either 30 or 40', 'Compile time Error']",40
الدوال,"What is the output of the following code snippet?
#include <iostream.h>
using namespace std;
int function(int* ptr)
{
    return (*ptr + 50);
}
int main()
{
    const int value = 20;
    const int *pointer = &value;
    int *ptr1 = const_cast <int *>(pointer);
    cout << function(ptr1);
    return 0;
}","['80', '50', '90', '70']",70
الدوال,"What is the output of the following program?

#include <iostream>
using namespace std;
int operate (int a, int b){    return (a * b);}
float operate (float a, float b){    return (a / b);}
int main (){
    int x = 5, y = 2;
    float n = 5.0, m = 2.0;
    cout << operate (x, y);
    cout << operate (n, m);
    return 0;}","['119', '102.5', '123.4', '128.4']",102.5
الدوال,"What is the output of the following program?
 #include <iostream>
using namespace std;
void duplicate (int& a, int& b, int& c)
{    a *= 2;    b *= 2;    c *= 2;}
int main (){
    int x = 1, y = 3, z = 7;
   duplicate (x, y, z);
   cout << x << y << z; 
   return 0;}","['1468', '2812', '2614', '2713']",2614
الدوال,"What is the output of the following program?
#include <iostream>
using namespace std;
void find();
void find()
{
    static int i=1;
    cout<<i<<” “;
    i++;
}
int main()
{
    find();
    find();
    find();
    return 0;
}","['Compile time Error', '1 2 3', '1 1 1', '3 3 3']",1 2 3
الدوال,"What is the output of the following program?
#include <iostream>
using namespace std;
inline int display(int a, int b)
{
    return a*b;
}
int main()
{
    int i,a=10,b=5;
   for(i=1;i<display(a,b);i=i*2)
    cout<<i<<” “;
    return 0;
}","['1 2 4 8 16 32', '2 4 8 16 32 64', '1 2 4 8 16', 'Infinite']",1 2 4 8 16 32
الدوال,"What is the output of the following program?
#include<iostream>
 using namespace std;
void dFunction(int p, …)
{
    cout<<p<<” “;
}
int main()
{
    dFunction(1, 3, 5, 7);
    dFunction(3, 6, 12);
    return 0;
}","['1 3', '2 3', '3 3', 'Compilation Error']",1 3
الدوال,"What is the output of the following code snippet?
#include <iostream>
#include <string>
using namespace std;
void fun(string str, string str1)
{
   cout<<str.capacity()<<” “<<str1.capacity();
}
int main() {
   string str {“C++ String Quiz”};
    string str1 {“string”};
    fun(str,str1);
    return 0;
}","['15 5', '15 7', '15 6', '16 7']",15 6
الدوال,"What is the output of the following code snippet?
#include<bits/stdc++.h>
using namespace std;
int mul(int a, int b)
{
    return (a * b);
}
float mul(float a, float b)
{
    return (a / b);
}
int main()
{
    int x = 10, y = 2;
    float n = 13.2345, m = 2.0;
    cout << mul(x, y) <<”    “;
    cout <<setprecision(3)<< mul(n, m);
    return 0;
} ","['20 6', '20 6.6', '20 6.62', '20 6.617']",20 6.62
الدوال,Which is not a proper prototype?,"['int funct(char x, char y);', 'double funct(char x)', 'void funct();', 'char x();']",double funct(char x)
الدوال,"How many times will QuizOrbit be printed?
#include <iostream>
using namespace std;
#define DISPLAY(i, limit) do { if (i++ < limit) { cout<<“QuizOrbit”<<endl; continue; } }while(i<limit)
int main()
{
    int i = 0;
    DISPLAY(i, 4);
    return 0;
}","['Four', 'Five', 'Three', 'Seven']",Four
الدوال,Which of the following is a valid function call (assuming the function exists)?,"['funct;', 'funct x, y;', 'funct();', 'int funct();']",funct();
الدوال,هو جزء من البرنامج يؤدي مهمة محددة :,"['array', 'function', 'looping', 'conditional statements']",function
الدوال,"يكون موجود في العادة في اعلى الدالة ""function header"" و يحدد مدخلاً للـ function لأداء مهمتها","['global variable', 'function arguments or function parameters', 'function statements', 'function heading']",function arguments or function parameters
الدوال,هي عبارة تستخدم لتشغيل او مناداة الـ function,"['function declaration', 'function call', 'function definition', 'function name']",function call
الدوال,هي عبارة تخبر المترجم عن اسم الـ function  ونوع الـ return والـ parameters,"['function definition', 'function declaration', 'function call', 'function name']",function declaration
الدوال,إنه جزء اساسي من الـ function header و يستخدم لتعريف و تحديد الـ function :,"['function name', 'function data type', 'function parameters', 'function body']",function name
الدوال,"What is the return type of the function with prototype: ""int func(char x, float v, double t);""","['char', 'int', 'float', 'double']",int
الدوال,Which of the following is a complete function?,"['int funct();', 'int funct(int x) {return x=x+1;}', 'void funct(int) {cout&tl;<""Hello""}', 'void funct(x) {cout<<""Hello""}']",int funct(int x) {return x=x+1;}
الدوال,هو نوع من المتغيرات التي لا يمكن استخدامه إلا داخل الدالة ؟,"['local variable', 'global variable', 'parameter variables', 'constant variable']",local variable
الدوال,What is the minimum number of functions needed in C++?,"['Zero', 'One', 'Two', 'Infinite']",One
الدوال,"What is the output of the following program?
#include <iostream>
using namespace std;
int fun(int n)
{
  for(;n > 0; n–)
   cout<<“QuizOrbit”<<” “;
  return 0;
}
int main()
{
    int ptr=fun(2);
    return 0;
}","['QuizOrbit', 'QuizOrbit QuizOrbit', 'Compilation Error', 'Runtime Error']",QuizOrbit QuizOrbit
الدوال,تنهي تنفيذ الـ function و يمكنها ارجاع قيمة اذا تم استدعاء هذه الـ function :,"['break', 'return', 'getch', 'main']",return
الدوال,إذا كانت الـ function في C ++ لا تُرجع قيمة ، فسيتم الإشارة إلى نوع الإرجاع الخاص بها بـ ؟,"['Int', 'Float', 'Void', 'لا شئ مما سبق']",Void
الدوال,إنه نوع return يعني عدم إرجاع أي قيمة :,"['int', 'double', 'void', 'char']",void
الشروط,"What is the output of the following program?
#include <iostream>
using namespace std;
int main (){
    int a = 10;
    if (a < 15)    {
        time:
        cout << a;
        goto time; 
   }
    break;
    return 0;}","['1010', '10', '5432', '53']",10
الشروط,"What is the output of the following program?
#include <iostream>
using namespace std;
int main (){
    int n;
    for (n = 5; n > 0; n--)    {
        cout << n;
        if (n == 3)
            break;
        }
    return 0;}","['543', '54', '5432', '53']",543
الشروط,What is required to avoid falling through from one case to the next?,"['end;', 'break;', 'Stop;', 'A semicolon.']",break;
الشروط,"If the user enters 5 to this program, what is the output of the program?
#include <iostream>
using namespace std;
int main (){
    int a;
    cin>>a; // user can enter any value
    if (++a*5 <= 25)    {
        cout<<""Hello"";    }
    else    {
        cout<<""Bye"";}
    return 0;}","['Hello', 'Bye', 'Undefined', 'Compilation Error']",Bye
الشروط,What keyword covers unhandled possibilities?,"['all', 'contingency', 'default', 'other']",default
الشروط,"What is the output of the following program?
#include <iostream>
using namespace std;
int main (){
    int x = 5;
    if(x++ == 5)
        cout<<""Five""<<endl;
    else
        if(++x == 6)
            cout<<""Six""<<endl;
    return 0;}","['Five', 'Six', 'FiveSix', 'Compilation Error']",Five
الشروط,"What is the output of the following program?
#include <iostream>
using namespace std;
int main (){
    int x = 5;
    if(-1 == -1){
       cout<<""Hey.."";}
    else{cout<<""Nouvil.com"";}
    return 0;}","['Hey..', 'Nouvil.com', 'Compilation Error', 'لا شئ مما سبق']",Hey..
الشروط,اي مما يلي صحيح اذا تحدثنا عن الـ if في الـ c++؟,"['if expression', 'if { expression', 'if ( expression )', 'expression if']",if ( expression )
الشروط,Switch Statement,"['Is a statement with a set of conditions called cases', 'Is a case', 'Is a condition with no cases', 'Is a boolean statement']",Is a statement with a set of conditions called cases
الشروط,"What is the output of the following program?
#include <iostream>
using namespace std;
int main (){
    int a = 1;
    switch(a)
    {
        case 1: cout<<""One"";
        case 2: cout<<""Two"";
        case 3: cout<<""Three""; break;
        default: cout<<""Default"";}
    return 0;}","['One', 'Two', 'OneTwoThree', 'Default']",OneTwoThree
الشروط,"What is the result of the following code?
 int x=0;

switch(x)

{

  case 1: cout<<""One"";

  case 0: cout<<""Zero"";

  case 2: cout<<""Hello World"";

}","['One', 'Zero', 'Hello World', 'ZeroHello World']",ZeroHello World
العوامل,AND operator in C++ is written as:,"['&&', '&', '||', 'AND']",&&
العوامل,"Which of the following is called insertion/put to operator, which is used in cout statement?","['<<', '>>', '<', '>']",<<
العوامل,Which of the following is the correct operator to compare two variables?,"[':=', '=', 'equal', '==']",==
العوامل,"Which of the following is called extraction/get from operator, which is sued in cin statement??","['<<', '>>', '<', '>']",>>
العوامل,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
    int i = 6;
   cout<<i++<< ” “<<++i<<” “<<i++;
    return 0;
}","['6 7 7', '6 8 8', '7 8 8', '7 7 7']",6 8 8
العوامل,"What is the output of the following code snippet?
#include <iostream>
using namespace std;
int main()
{
    int a = 60, b = 50, c=10;
    if (a > b && a >c)
    {
        cout << “a is greater than b and c\n”;
    }
    else if(b>a && b>c)
    {   
        cout << “b is greater than a and c\n”;
    }
    else if(c>a&& c>b)
    {
        cout<<“c is greater than a and b\n”;
    }
    else if(a==b && a==c)
    {
        cout<<“a is equal to b and c”;
    }
    else if(a==b)
    {
        cout<<“a is equal to b”;
    }
    else if(a==c)
    {
        cout<<“a is equal to c”;
    }
    else if(b==c)
    {
        cout<<“b is equal to c”;
    }
    return 0;
}","['a is greater than b and c', 'b is greater than a and c', 'c is greater than a and b', 'a is equal to b and c']",a is greater than b and c
العوامل,What does <= mean?,"['less than', 'greater than', 'less than or equal to', 'greater than or equal to']",less than or equal to
العوامل,"What is the output of the following code snippet?
#include <iostream>
using namespace std;
int main()
{
    int a = 20, b = 30, c = 50, d = 40;
      if (a > b && a > c && a>d)
        cout << “A is greater than b,c and d”<<endl;
    else
        cout << “Logical And Condition Fails”<<endl;
      if (a > b || a>c || a>d)
        cout << “Either a is greater than b, c or d “<<endl;
    else
        cout << “Neither a is greater than b, c nor d”<<endl;
    return 0;
}","['Logical And Condition Fails Neither a is greater than b, c nor d', 'A is greater than b,c and d Neither a is greater than b, c nor d', 'Logical And Condition Fails Either a is greater than b, c or d', 'A is greater than b,c and d Either a is greater than b, c or d']","Logical And Condition Fails Neither a is greater than b, c nor d"
العوامل,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
    int a = 20, b = 30;
    bool res = ((a != b) && cout << “QuizOrbit\n”);
    if(res==1)
    cout<<“TRUE”;
    else
    cout<<“FALSE”;
    return 0;
}","['QuizOrbit FALSE', 'QuizOrbit TRUE', 'FALSE', 'TRUE']",QuizOrbit TRUE
العوامل,What is the alternative for x = x + 5?,"['x += 5;', 'x -= 4;', 'x = y + 5;', 'x=+5']",x += 5;
العوامل,((4==4) && (3>6))   returns:,"['True', 'False']",FALSE
العوامل,"Evaluate the following expressions to true or false

3!=4-1","['true', 'False']",FALSE
العوامل,Evaluate !(1 && !(0 || 1)).,"['True', 'False', 'Unevaluatable']",TRUE
المتغيرات,"What is the output of the following code:
    #include <iostream>
    using namespace std;
    int main()
    {
        typedef int number;
        number a = 30, b = 35;
        number c = 2*a + 2*b – 3*b – 2*a;
        cout << c;
        return 0;
    }   ","['20', '5', '-35', '35']",-35
المتغيرات,"What is the output of this code?
int x = 8;
// x = 3;
cout<<x<<endl;","['3', '8', 'error', 'x']",8
المتغيرات,"What is the output of the following code snippet?
#include<iostream>
using namespace std;
int main()
{
int a,b,c,d,i;
a=40;
b=50;
c=a,b;
d=(a,b);
i = (d++, d + 100, 50 + d);
cout << i;
return 0;
}","['100', '101', '150', '151']",101
المتغيرات,"What is the output of the following code?
#include <iostream>
using namespace std;
int main()
{
    double value= 55.5;
    int c = value; 
    int d = static_cast<int>(value);
    cout << d++ + ++d;
}","['110', '111', '112', 'Error']",112
المتغيرات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
int res;
res = 20*30/5+6;
cout<<res;
return 0;
}","['126', '128', '132', '136']",126
المتغيرات,"What is the output of the following program?
#include <iostream>
using namespace std;
int main()
{
float a;
float b=65.564545;
int c ;
double d=65.567634;
c = (int) b;
a = (float)d;
cout << c <<” “<< a;
return 0;
}","['65 65', '65 65.5676', '65 65.5645', '65.5645 65']",65 65.5676
المتغيرات,"What is the output of the following code:
#include <iostream>
using namespace std;
int main ()
{
int a, b;
a = 10;
b = ++a * a++;
cout <<“a=”<<a<<“b=”<< b<<” “;
b = a++ * ++a;
cout <<“new a=”<< a<<“new b=”<< b;
return 0;
}","['a=11 b=121 new a=13 new b=143', 'a=10 b=100 new a=12 new b=144', 'a=12 b=132 new a=14 new b=168', 'a=12 b=132 new a=13 new b=169']",a=12 b=132 new a=14 new b=168
المتغيرات,"What is the output of the following program?
#include<iostream>
using namespace std;
main() {
    int r, x = 2;
    float y = 5;
    r = y%x;
    cout<<r;}","['1', '0', '2', 'Compile error']",Compile error
المتغيرات,"Find the output of the following C++ code.
#include <iostream>
using namespace std;
int main()
{
   int data = “98”;
   int val=50;
  cout<<“After Adding value with val result is “<<data<<“+”<<val<<“we   get”<<data+val;
    return 0;
}","['Invalid Conversion error', 'Invalid input', 'Syntax error', 'None of the above']",Invalid Conversion error
المتغيرات,"Find the output of the following code:
#include <iostream>
using namespace std;
int main()
{
   int if = 98;
   int value;
value = 100+if;
cout<<“Value is “<<value;
    return 0;
}","['Value is 198', 'Compiles Successfully', 'Invalid Syntax', 'Value Error']",Invalid Syntax
المتغيرات,"What is the output of the following code snippet?
#include<iostream>
using namespace std;
int main()
{
    char c = 65;
    c = c+10;
    cout<<c;
    return 0;
}","['D', '75', 'K', '}']",K
المتغيرات,"Find the output of the following code:
#include<iostream>
using namespace std;
int main()
{
    float x = 0.1;
    if ( x == 0.1 )
        cout<<“Data”;
    else if (x == 0.1f)
        cout<<“QuizOrbit”;
    else
        cout<<“Quizzes”;
}","['Data', 'QuizOrbit', 'Quizzes', 'Compile Time Error']",QuizOrbit
المتغيرات,"What is the output of the following code?
#include <iostream>
using namespace std;
int main()
{
    int i = 20;
    int size = sizeof(++i);
    cout << ” Size of i = ” << size<<endl;
    i=i,++i;
    cout << ” Value of i = ” << i;
    return 0;
}","['Size of i=4 Value of i=21', 'Size of i=4 Value of i=20', 'Size of i=8 Value of i=21', 'Error']",Size of i=4 Value of i=21
المتغيرات,"What is the output of the following code snippet?
#include <iostream>
using namespace std;
int main()
{
int val1, val2, c;
val1=40;
val2=50;
val1>val2?cout<<“value1 is greater than value2″<<endl:cout<<“value2 is greater than value1″<<endl;
c= (val1> val2)?val1:val2;
cout << c;
return 0;
}","['value1 is greater than value2 40', 'Compiler Error', 'value2 is greater than value1 50', 'None of these']",value2 is greater than value1 50
المصفوفات,يبدأ اول index في الـ array من,"['0', '1', '2', 'لا شئ مما سبق']",0
المصفوفات,في العبارة التالية a [3] = 5 ، أي مما يلي قيمة الـ index؟,"['a', '3', '5']",3
المصفوفات,"What is the value of the element at arr[0][1][1] in the following program?
#include<iostream>
using namespace std;
int main()
{
    int arr[1][3][2] =
    {
        { {0,1}, {2,3}, {4,5} } 
    };
    for (int i = 0; i < 1; ++i)
    {
        for (int j = 0; j < 3; ++j)
        {
            for (int k = 0; k < 2; ++k)
            {
                cout << “Element at arr[” << i << “][” << j
                    << “][” << k << “] = ” << arr[i][j][k]
                    << endl;
            }
        }
    }
    return 0;
}","['4', '', '2', '3']",3
المصفوفات,ما هو آخر index في هذه المصفوفة؟int values[5],"['0', '5', '4', '6']",4
المصفوفات,"In the following array initialization, what value is assigned to arr[4]?
int arr[5]={5,4,3,6,3};","['4', '6', '3', '5']",6
المصفوفات,"What is the size of the following Array?
Int arr={1,2,3,1,2,3,4,5,1,2};","['8', '9', '10', '11']",10
المصفوفات,What is the index number of the last element of an array with 29 elements?,"['29', '28', '0', 'Programmer-defined']",28
المصفوفات,"In what range do the index values of the following array fall?
int arr[500];","['0 to 500', '0 to 499', '1 to 500', '1 to 499']",0 to 499
